State,Turnout Rates,,,Numerators,,Denominators,,VEP Components (Modifications to VAP to Calculate VEP),,,,,
,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible
United States,40.5%,39.5%,36.3%,"80,295,249","78,381,943","198,381,939","215,461,549",8.0%,"1,456,927","2,451,708","485,282","3,168,063","3,308,145"
Alabama,,41.5%,40.4%,,"1,364,602","3,285,643","3,371,451",1.8%,"28,440","39,713","5,309","53,606",
Alaska,54.5%,54.2%,51.0%,"232,852","231,484","427,337","457,154",3.8%,"4,431","5,229",900,"7,946",
Arizona,36.7%,35.9%,30.7%,"1,255,615","1,226,111","3,419,481","3,998,148",11.1%,"30,741","66,485","4,587","68,571",
Arkansas,41.7%,41.3%,39.7%,"814,176","805,696","1,951,568","2,031,787",2.6%,"12,378","27,377","12,128","38,195",
California,37.3%,36.1%,29.0%,"7,738,821","7,476,351","20,733,192","25,622,609",18.8%,"163,361",0,"113,185","276,546",
Colorado,46.6%,46.3%,42.0%,"1,424,029","1,416,093","3,056,465","3,362,098",7.2%,"19,085",0,"6,215","25,300",
Connecticut,45.1%,42.3%,38.9%,"1,090,756","1,022,942","2,418,037","2,617,814",7.1%,"20,525",0,"2,186","22,711",
Delaware,,41.1%,37.9%,,"232,314","564,938","612,919",4.4%,"6,879","20,201",551,"17,531",
District of Columbia,,30.1%,27.1%,,"124,228","412,062","458,631",10.0%,0,0,0,0,
Florida,45.9%,45.6%,39.5%,"5,143,674","5,100,581","11,194,391","13,005,435",10.9%,"80,352","291,315","5,223","231,233",
Georgia,,35.4%,32.2%,,"2,031,604","5,731,983","6,287,215",6.5%,"47,004","367,349","20,822","251,501",
Hawaii,44.2%,43.8%,40.2%,"385,462","382,110","872,992","950,520",8.0%,"5,635",0,0,"5,635",
Idaho,45.2%,44.7%,42.0%,"416,533","411,477","921,256","970,916",4.0%,"5,825","31,361","1,961","23,467",
Illinois,42.8%,41.4%,37.7%,"3,651,808","3,538,883","8,540,965","9,302,571",8.9%,"43,186",0,0,"43,186",
Indiana,,33.9%,33.3%,,"1,521,353","4,494,191","4,587,747",2.6%,"22,576",0,0,"22,576",
Iowa,48.7%,47.9%,45.7%,"1,040,201","1,023,075","2,136,683","2,214,936",2.5%,"8,395","19,970","2,787","21,167",
Kansas,44.9%,44.0%,41.4%,"851,966","835,692","1,897,261","2,007,407",4.1%,"9,009","15,217","3,990","20,608",
Kentucky,,37.2%,36.4%,,"1,131,313","3,044,267","3,100,972",1.7%,"16,377","24,480","5,968","34,585",
Louisiana,40.1%,39.4%,37.8%,"1,267,225","1,246,333","3,163,663","3,312,330",1.7%,"36,091","36,257","23,049","77,269",
Maine,,50.8%,50.1%,,"505,190","995,056","1,001,796",1.6%,0,0,0,0,
Maryland,46.8%,46.3%,41.6%,"1,721,626","1,704,560","3,678,346","4,082,694",6.9%,"24,186","81,982","13,271","78,448",
Massachusetts,49.8%,49.2%,44.4%,"2,220,301","2,194,189","4,458,820","4,919,958",8.2%,"10,511",0,0,"10,511",
Michigan,45.0%,44.5%,42.3%,"3,219,864","3,177,565","7,147,888","7,445,335",3.4%,"49,524",0,0,"49,524",
Minnesota,,64.1%,59.7%,,"2,254,639","3,518,184","3,745,577",3.8%,"7,612","122,692","3,577","72,535",
