State,Turnout Rates,,,Numerators,,Denominators,,VEP Components (Modifications to VAP to Calculate VEP),,,,,
,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible
United States,60.7%,60.1%,55.4%,"123,535,883","122,294,978","203,483,455","220,336,019",8.2%,"1,490,169","2,387,283","474,632","3,158,443","3,862,836"
Alabama,57.4%,57.2%,55.2%,"1,890,317","1,883,415","3,292,608","3,427,542",1.9%,"26,521","36,795","7,745","52,664",
Alaska,69.6%,69.1%,65.2%,"314,502","312,598","452,124","476,378",4.0%,"4,515","5,547",951,"8,240",
Arizona,54.8%,54.1%,47.0%,"2,038,069","2,012,585","3,717,055","4,215,706",11.5%,"31,631","69,343","5,671","71,974",
Arkansas,54.4%,53.6%,51.0%,"1,070,573","1,054,945","1,969,208","2,072,986",2.8%,"13,477","29,128","14,844","42,885",
California,59.6%,58.8%,47.1%,"12,589,367","12,421,852","21,132,533","26,246,548",18.8%,"166,053",0,"110,261","276,314",
Colorado,67.3%,66.7%,61.2%,"2,148,036","2,129,630","3,192,647","3,443,164",7.5%,"19,756",0,"7,383","27,139",
Connecticut,66.2%,65.0%,59.7%,"1,607,808","1,578,769","2,429,634","2,652,587",7.3%,"20,018",0,"2,552","22,570",
Delaware,64.5%,64.2%,59.4%,"377,407","375,190","584,817","635,370",4.7%,"6,973","18,725",539,"16,875",
District of Columbia,54.9%,54.3%,48.9%,"230,105","227,586","419,142","458,758",10.0%,0,0,0,0,
Florida,64.7%,64.4%,56.1%,"7,640,319","7,609,810","11,811,921","13,643,828",11.2%,"84,733","281,170","4,888","230,206",
Georgia,56.4%,56.2%,50.0%,"3,317,336","3,301,875","5,878,186","6,499,325",6.8%,"48,625","419,350","23,344","281,644",
Hawaii,48.5%,48.2%,44.1%,"431,662","429,013","889,540","982,882",7.9%,"5,946",0,0,"5,946",
Idaho,64.8%,63.2%,58.7%,"612,786","598,376","946,160","1,016,255",4.1%,"6,312","44,580","2,370","30,972",
Illinois,62.4%,61.5%,55.7%,"5,350,493","5,274,322","8,576,696","9,391,420",9.0%,"44,379",0,0,"44,379",
Indiana,55.8%,54.8%,53.0%,"2,512,142","2,468,002","4,504,260","4,660,157",2.7%,"23,760",0,0,"23,760",
Iowa,70.6%,69.9%,67.4%,"1,521,966","1,506,908","2,156,389","2,239,979",2.6%,"8,611","22,832","3,317","23,344",
Kansas,62.9%,61.6%,58.3%,"1,213,108","1,187,756","1,928,764","2,032,763",4.3%,"9,152","14,309","4,525","20,832",
Kentucky,59.4%,58.7%,56.9%,"1,816,867","1,795,860","3,057,741","3,157,464",1.7%,"17,763","33,286","8,006","42,412",
Louisiana,61.5%,61.1%,58.5%,"1,956,590","1,943,106","3,182,762","3,379,937",1.8%,"36,745","38,470","24,387","80,367",
Maine,74.9%,73.8%,72.6%,"751,519","740,752","1,003,792","1,022,043",1.6%,0,0,0,0,
Maryland,63.1%,62.9%,57.2%,"2,395,791","2,386,705","3,797,264","4,179,376",7.2%,"23,727","76,676","14,351","76,416",
Massachusetts,64.6%,64.2%,58.7%,"2,927,455","2,912,388","4,533,859","4,935,787",8.4%,"10,365",0,0,"10,365",
Michigan,67.1%,66.6%,63.9%,"4,875,692","4,839,252","7,263,024","7,508,568",3.4%,"48,591",0,0,"48,591",
